id,source_lat,source_long,target_lat,target_long,source,target,distance,slope,geometry,nearby_features,elevation_diff,is_uphill,across
1626,37.3910575,127.1192464,37.3912486,127.1190877,4279933681,4279933682,35.048,0.0,"LINESTRING (127.1192464 37.3910575, 127.1192771 37.3912171, 127.1190877 37.3912486)",none,0.0,False,0
1627,37.3912486,127.1190877,37.3910895,127.1190534,4279933682,4279933683,17.949,0.0,,none,0.0,False,0
1628,37.3912486,127.1190877,37.3910575,127.1192464,4279933682,4279933681,35.048,0.0,"LINESTRING (127.1190877 37.3912486, 127.1192771 37.3912171, 127.1192464 37.3910575)",none,0.0,False,0
1629,37.3912486,127.1190877,37.3911226,127.1188537,4279933682,4279933678,35.492,0.0,"LINESTRING (127.1190877 37.3912486, 127.1188935 37.391281, 127.1188537 37.3911226)",none,0.0,False,0
1630,37.3910895,127.1190534,37.3910575,127.1192464,4279933683,4279933681,17.418,0.0,,none,0.0,False,0
1631,37.3910895,127.1190534,37.3911226,127.1188537,4279933683,4279933678,18.022,0.0,,none,0.0,False,0
1632,37.3910895,127.1190534,37.3912486,127.1190877,4279933683,4279933682,17.949,0.0,,none,0.0,False,0
1633,37.3976501,127.1174322,37.3972836,127.1185105,4283503526,4283503535,105.949,0.0,"LINESTRING (127.1174322 37.3976501, 127.1175234 37.3976458, 127.1176468 37.3976373, 127.1177702 37.3976117, 127.1178668 37.3975904, 127.1180009 37.3975521, 127.1181243 37.3975052, 127.1182369 37.3974498, 127.1183657 37.3973773, 127.1185105 37.3972836)","nan: 저류지,park: 저류지",0.0,False,0
1634,37.3972836,127.1185105,37.396184,127.1191435,4283503535,4283503543,137.073,-0.1618798786548429,"LINESTRING (127.1185105 37.3972836, 127.1186339 37.3971856, 127.1187251 37.3970833, 127.1188377 37.3969469, 127.1189236 37.3968148, 127.1189933 37.3966784, 127.1190523 37.3965378, 127.1191113 37.3963503, 127.1191435 37.396184)",park: 저류지,-2.0,False,0
1635,37.3972836,127.1185105,37.3976501,127.1174322,4283503535,4283503526,105.94899999999998,0.0,"LINESTRING (127.1185105 37.3972836, 127.1183657 37.3973773, 127.1182369 37.3974498, 127.1181243 37.3975052, 127.1180009 37.3975521, 127.1178668 37.3975904, 127.1177702 37.3976117, 127.1176468 37.3976373, 127.1175234 37.3976458, 127.1174322 37.3976501)","park: 저류지,nan: 저류지",0.0,False,0
1636,37.3972836,127.1185105,37.3979958,127.117068,4283503535,12000324277,205.914,-0.9712792719290578,"LINESTRING (127.1185105 37.3972836, 127.1184981 37.39745, 127.1185681 37.3975591, 127.1185826 37.3976555, 127.1185905 37.3977412, 127.1185612 37.3978678, 127.1183927 37.3978599, 127.1181683 37.3978872, 127.1178538 37.397887, 127.1174976 37.3978807, 127.1171201 37.3979015, 127.117068 37.3979958)","park: 저류지,nan: 저류지",-2.0,False,0
1637,37.396184,127.1191435,37.3958474,127.1191489,4283503543,4283503544,37.431,0.0,,park: 나들이공원,0.0,False,0
1638,37.396184,127.1191435,37.3961798,127.1186473,4283503543,4283503563,43.837,-0.5756443505708367,,none,2.0,True,0
1639,37.396184,127.1191435,37.3972836,127.1185105,4283503543,4283503535,137.073,1.459076550451219,"LINESTRING (127.1191435 37.396184, 127.1191113 37.3963503, 127.1190523 37.3965378, 127.1189933 37.3966784, 127.1189236 37.3968148, 127.1188377 37.3969469, 127.1187251 37.3970833, 127.1186339 37.3971856, 127.1185105 37.3972836)",park: 저류지,2.0,True,0
1640,37.3958474,127.1191489,37.3953914,127.1191703,4283503544,4283503545,50.74,1.234770996890311,,park: 나들이공원,-2.0,False,0
1641,37.3958474,127.1191489,37.396184,127.1191435,4283503544,4283503543,37.431,0.0,,park: 나들이공원,0.0,False,0
1642,37.3958474,127.1191489,37.3955277,127.118439,4283503544,4283503562,72.088,1.3871934302519144,,park: 나들이공원,1.0,True,0
1643,37.3958474,127.1191489,37.3958857,127.1195539,4283503544,4283503566,36.75,0.0,"LINESTRING (127.1191489 37.3958474, 127.1192749 37.39589, 127.1193554 37.39589, 127.1195539 37.3958857)",park: 나들이공원,0.0,False,0
1644,37.3953914,127.1191703,37.3958474,127.1191489,4283503545,4283503544,50.74,0.2311989050419857,,park: 나들이공원,2.0,True,0
1645,37.3953914,127.1191703,37.3951229,127.1189289,4283503545,4283503551,38.599999999999994,0.0,"LINESTRING (127.1191703 37.3953914, 127.1191059 37.3953445, 127.1190416 37.3953019, 127.1189826 37.3952592, 127.118945 37.3952166, 127.1189289 37.3951783, 127.1189289 37.3951229)",park: 나들이공원,0.0,False,0
1646,37.3953914,127.1191703,37.3951487,127.1197826,4283503545,12000324370,75.28299999999999,0.0,"LINESTRING (127.1191703 37.3953914, 127.1195284 37.3953585, 127.1196689 37.3953643, 127.1197515 37.3952886, 127.119837 37.395202, 127.1197826 37.3951487)","park: 나들이공원,park: Unnamed",0.0,False,0
1647,37.3953914,127.1191703,37.3948927,127.1199703,4283503545,12000324289,128.642,0.0,"LINESTRING (127.1191703 37.3953914, 127.119148 37.3949188, 127.1192337 37.3948495, 127.1194842 37.3948619, 127.1199703 37.3948927)","park: 나들이공원,park: Unnamed",0.0,False,0
1648,37.3951229,127.1189289,37.3953914,127.1191703,4283503551,4283503545,38.60000000000001,0.0,"LINESTRING (127.1189289 37.3951229, 127.1189289 37.3951783, 127.118945 37.3952166, 127.1189826 37.3952592, 127.1190416 37.3953019, 127.1191059 37.3953445, 127.1191703 37.3953914)",park: 나들이공원,0.0,False,0
1649,37.3961998,127.1178639,37.3962031,127.1170288,4283503552,11918729021,73.773,0.0,,none,0.0,False,0
